procset,wid,sin,rep,key,x_value,y_value,type
tomo2D,0,6,2,t,0.06339144634165578,8.981590814878091,FK
tomo2D,0,6,2,t,0.6575025325482455,15.912962607380187,FK
tomo2D,0,6,2,t,0.8351814088424266,19.14311645242971,FK
tomo2D,0,6,2,t,1.1294620477046642,21.498436964444984,FK
tomo2D,0,6,2,t,1.4848198002930268,27.08391132150978,FK
tomo2D,1,6,2,t,0.05783874877311457,8.847001071334361,FK
tomo2D,1,6,2,t,0.8573912683791994,18.268283119395463,FK
tomo2D,1,6,2,t,1.2071965560833684,22.37327029747923,FK
tomo2D,1,6,2,t,1.5403444491349583,27.016616449737917,FK
tomo2D,0,7,1,t,0.030075260930408576,8.98159081487809,FK
tomo2D,0,7,1,t,0.7241321111585634,16.51861645332697,FK
tomo2D,0,7,1,t,0.8962585225685514,19.21041132420157,FK
tomo2D,0,7,1,t,1.2071965560833684,22.57515491279482,FK
tomo2D,0,7,1,t,1.4070852919143224,24.661295937722635,FK
tomo2D,0,7,1,t,1.5403444491349583,27.4203856803691,FK
tomo2D,0,7,2,t,0.035627958498949786,8.71241132779063,FK
tomo2D,0,7,2,t,0.6519500676640524,15.576488248520858,FK
tomo2D,0,7,2,t,0.8407338737266198,19.07582158065784,FK
tomo2D,0,7,2,t,1.118357117936278,21.969501066848036,FK
tomo2D,0,7,2,t,1.529239519366572,26.949321577966046,FK
tomo2D,0,8,1,t,0.046733353636032204,8.71241132779063,FK
tomo2D,0,8,1,t,0.7629993653479156,17.25886004281749,FK
tomo2D,0,8,1,t,1.0239652149049943,20.825488246726334,FK
tomo2D,0,8,1,t,1.329350783535618,24.190231835319587,FK
tomo2D,0,8,1,t,1.5570018437875377,26.882026706194186,FK
tomo2D,0,8,2,t,0.05228605120457336,8.779706199562494,FK
tomo2D,0,8,2,t,0.6686074623166318,16.11484722269578,FK
tomo2D,0,8,2,t,1.0017553553682217,20.085244657235815,FK
tomo2D,0,8,2,t,1.2071965560833684,22.57515491279482,FK
tomo2D,0,8,2,t,1.5236870544823788,26.74743696265045,FK
tomo2D,0,9,1,t,0.041180656067490995,9.789129276140468,FK
tomo2D,0,9,1,t,0.5742155592853481,15.307308761433399,FK
tomo2D,0,9,1,t,0.9628881011788694,19.61418055483276,FK
tomo2D,0,9,1,t,1.3404557133040043,23.988347220003984,FK
tomo2D,0,9,1,t,1.5570018437875377,26.612847219106722,FK
tomo2D,0,9,2,t,0.041180656067490995,9.519949789053008,FK
tomo2D,0,9,2,t,0.6686074623166318,16.451321581555106,FK
tomo2D,0,9,2,t,1.251616275156914,22.97892414342601,FK
tomo2D,0,9,2,t,1.5347919842507651,26.545552347334855,FK
tomo2D,0,10,1,t,0.05783874877311457,8.914295943106223,FK
tomo2D,0,10,1,t,0.4298514722963258,13.153872864733719,FK
tomo2D,0,10,1,t,0.8851535928001651,18.13369337585173,FK
tomo2D,0,10,1,t,1.118357117936278,19.88336004192022,FK
tomo2D,0,10,1,t,1.4181902216827087,23.180808758741605,FK
tomo2D,0,10,1,t,1.568106773555924,24.59400106595077,FK
tomo2D,0,10,2,t,0.06339144634165578,8.375936968931304,FK
tomo2D,0,10,2,t,0.3909842181069737,13.01928312118999,FK
tomo2D,0,10,2,t,0.7685518302321087,16.78779594041443,FK
tomo2D,0,10,2,t,1.0683849339785394,19.412295939517165,FK
tomo2D,0,10,2,t,1.429295151451095,23.315398502285337,FK
tomo2D,0,10,2,t,1.5570018437875377,24.526706194178907,FK
tomo2D,0,11,1,t,0.03007400063441812,8.779706199562495,FK
tomo2D,0,11,1,t,0.29659231507568995,11.673385685752692,FK
tomo2D,0,11,1,t,0.607530348590507,14.970834402574077,FK
tomo2D,0,11,1,t,0.8185240141898471,17.595334401676812,FK
tomo2D,0,11,1,t,1.0295176797891874,20.017949785463955,FK
tomo2D,0,11,1,t,1.2571687400411071,22.64244978456669,FK
tomo2D,0,11,1,t,1.5570670922792376,26.276372860247402,FK
tomo2D,0,11,2,t,0.030075260930408576,8.30864209715944,FK
tomo2D,0,11,2,t,0.47427119136987117,14.230590813083563,FK
tomo2D,0,11,2,t,0.7629993653479156,17.124270299273757,FK
tomo2D,0,11,2,t,0.9018109874527445,18.066398504079867,FK
tomo2D,0,11,2,t,1.1072521881678918,21.094667733813793,FK
tomo2D,0,11,2,t,1.3959803621459361,23.248103630513473,FK
tomo2D,0,11,2,t,1.5458969140191514,25.939898501388075,FK
tomo2D,0,12,1,t,0.05228605120457336,8.17405235361571,FK
tomo2D,0,12,1,t,0.6686074623166318,15.912962607380187,FK
tomo2D,0,12,1,t,1.012860285136608,19.210411324201573,FK
tomo2D,0,12,1,t,1.2682736698094932,22.777039528110418,FK
tomo2D,0,12,1,t,1.5347919842507651,26.68014209087859,FK
tomo2D,0,12,2,t,0.05228605120457336,7.972167738300115,FK
tomo2D,0,12,2,t,0.47427119136987117,13.423052351821182,FK
tomo2D,0,12,2,t,0.9240208469895174,18.335577991167327,FK
tomo2D,0,12,2,t,1.223853950735948,22.171385682163635,FK
tomo2D,0,12,2,t,1.5570018437875377,26.747436962650458,FK
tomo2D,0,13,1,t,0.041178930402804514,8.5778215842469,FK
tomo2D,0,13,1,t,0.4187465425279395,12.884693377646261,FK
tomo2D,0,13,1,t,0.713027181390177,15.980257479152053,FK
tomo2D,0,13,1,t,0.979545495831449,18.941231837114113,FK
tomo2D,0,13,1,t,1.290483529346266,22.64244978456669,FK
tomo2D,0,13,1,t,1.5570670922792376,26.276372860247402,FK
tomo2D,0,14,1,t,0.041180656067490995,8.174052353615709,FK
tomo2D,0,14,1,t,0.5131384455592233,13.9614113259961,FK
tomo2D,0,14,1,t,0.8684961981475857,18.470167734711055,FK
tomo2D,0,14,1,t,1.3460081781881976,25.80530875784434,FK
tomo2D,0,15,1,t,0.024522563361867422,8.71241132779063,FK
tomo2D,0,15,1,t,0.6908173218534045,15.374603633205265,FK
tomo2D,0,15,1,t,1.090594793515312,20.28712927255141,FK
tomo2D,0,15,1,t,1.5403444491349583,26.0744882449318,FK
tomo2D,0,16,1,t,0.035627958498949786,8.039462610071979,FK
tomo2D,0,16,1,t,0.5075859806750301,13.894116454224234,FK
tomo2D,0,16,1,t,0.8573912683791994,18.873936965342246,FK
tomo2D,0,16,1,t,1.1960916263149821,24.122936963547716,FK
tomo2D,0,16,1,t,1.5236870544823788,29.237347218209457,FK
